Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1qgtSWA2GbpAXfyC51M1ph,"52NCHGkTcQvvAQDY6Iy7al","Por Ti","Epílogo","4x3",2017-11-01,153209,43,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"latin viral rap",0.761,0.535,8,-7.665,1,0.06,0.882,0,0.183,0.899,90.965,4
5FAS5CyNd5jXR9wRpRtn3L,"0SOR3T9fzrjAJwWBKjOi4c","Inevitablemente","Inevitablemente","D2o",2023-05-14,197160,32,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"",0.69,0.449,5,-9.55,0,0.186,0.258,0,0.0991,0.633,79.198,4
3w3y8KPTfNeOKPiqUTakBh,"0du5cEVh5yTK9QJze8zA0C","Locked out of Heaven","Unorthodox Jukebox","Bruno Mars",2012-12-07,233478,88,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"dance pop,pop",0.726,0.698,5,-4.165,1,0.0431,0.049,0,0.309,0.867,143.994,4
49FYlytm3dAAraYgpoJZux,"5pKCCKE2ajJHZ9KAiaK11H,3nFkdlSjzX9mRTtwJOzDYB","Umbrella","Good Girl Gone Bad: Reloaded","Rihanna,JAY-Z",2008-06-02,275986,82,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"barbadian pop,pop,urban contemporary,east coast hip hop,gangster rap,hip hop,pop rap,rap",0.585,0.828,1,-4.603,1,0.124,0.00906,0,0.0426,0.584,174.034,4
0JEoezwc786AUMKs2CBQRI,"2F9pvj94b52wGKs0OqiNi2","Carismático","Anoche","Babasónicos",2005-01-01,155920,65,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"argentine rock,electronica argentina,latin alternative,latin rock,pop electronico,rock en espanol",0.69,0.919,7,-4.696,1,0.0353,0.0504,0,0.152,0.745,137.018,4
7fss5WF5vuXRHvMsYRQXQH,"1jZ0MrDMFzvOPUgYIAlwrN","Темная ночь","Русское наследие","Mark Bernes",2022-08-25,175480,58,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"classic russian pop,russian folk",0.426,0.257,7,-15.88,1,0.044,0.939,0.0000202,0.109,0.423,112.243,4
0ct6r3EGTcMLPtrXHDvVjc,"1vCWHaC5f2uS3yhpwWbIA6","The Nights","The Days / Nights","Avicii",2014-01-01,176658,85,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"dance pop,edm,pop,pop dance",0.527,0.835,6,-5.298,1,0.0433,0.0166,0,0.249,0.654,125.983,4
7ACxUo21jtTHzy7ZEV56vU,"6ZLTlhejhndI4Rh53vYhrY","Crazy Train","Blizzard Of Ozz (40th Anniversary Expanded Edition)","Ozzy Osbourne",2020-09-18,293183,77,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"album rock,alternative metal,birmingham metal,classic rock,glam metal,hard rock,metal,rock",0.454,0.913,9,-4.008,1,0.107,0.408,0.000271,0.248,0.521,137.688,4
7gKqjNMM4ikt7KFTRsgZgL,"6nVcjUJemqpJjc1WevwTvL","El Viejo","De Bichos Y Flores","La Vela Puerca",2001-01-01,187066,59,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"latin alternative,reggae uruguayo,rock en espanol,rock uruguayo",0.699,0.744,1,-3.947,0,0.0275,0.0696,0,0.0751,0.81,114.025,4
7vOmSP2647oNUGGEhWd1cr,"5IpS1TN1Crp8Ym4zjiIrtK","Montagem Mysterious Game","Montagem Mysterious Game","LXNGVX",2023-12-01,103495,81,spotify:user:jkdl2p4vy07u8n6l77n4vp634,2024-08-18T15:14:44Z,"gym phonk,krushfunk",0.537,0.64,1,-10.441,1,0.104,0.146,0.878,0.157,0.222,130.051,4
