Track,Artist,Uri,Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_ms,Title,Stream
!ly (feat. Coez),thasup-Coez,spotify:track:1E1nbIsPDO1PdtQwsAKKF3,0.765,0.726,7.0,-5.26,0.0505,0.24,0.0,0.126,0.69,126.556,206495.0,thasup - !ly (Visual Video) ft. Coez,26314102.0
#1 - Colby O'Donis Remix,Colby O'Donis,spotify:track:5YdYkiEutbD5nSzzIlPI3j,0.762,0.864,7.0,-4.686,0.262,0.0914,0.0,0.131,0.608,90.026,137528.0,Colby O'Donis ft. Akon - What You Got (Official Video),561794.0
#3,Aphex Twin,spotify:track:2Bc4llhjJBW77I552RgA3L,0.167,0.071,6.0,-27.108,0.041,0.911,0.855,0.107,0.0613,143.315,464293.0,Aphex Twin - Selected Ambient Works 85-92,45002482.0
#41,Dave Matthews Band,spotify:track:2nklcPJ3YhYJfC2ibStXz9,0.577,0.726,4.0,-8.011,0.0299,0.00199,0.0386,0.158,0.764,107.416,399800.0,Dave Matthews Band - Two Step (from The Central Park Concert),34528391.0
#Ysya2020 Vol. 5 - Silbando,YSY A,spotify:track:6TI490muJ6RgFsYJc626BZ,0.936,0.659,5.0,-7.402,0.173,0.327,0.0,0.101,0.537,96.515,119438.0,07 - YSY A - PA ESTA SOLEDAD ( PROD. YESAN ),26297019.0
#thatPOWER,will.i.am,spotify:track:01TuObJVd7owWchVRuQbQw,0.797,0.608,6.0,-6.096,0.0584,0.00112,7.66e-05,0.0748,0.402,127.999,279507.0,will.i.am - Scream & Shout ft. Britney Spears,220604728.0
&burn (with Vince Staples),Vince Staples,spotify:track:7uX3gufAoBVqKVoD3dBLLD,0.776,0.379,9.0,-9.351,0.331,0.213,0.00175,0.0969,0.346,82.531,179016.0,Vince Staples - Norf Norf (Explicit) (Official Video),208847367.0
'O Sole Mio - Live,Luciano Pavarotti,spotify:track:6ua4ZcCoSABREsczFvGLI6,0.297,0.264,8.0,-12.537,0.0387,0.943,1.4e-05,0.7,0.247,62.074,191507.0,Luciano Pavarotti: 'O Sole Mio',4034033.0
'S Wonderful,Diana Krall,spotify:track:4tqGZzY8YmngfaTqUAHENj,0.546,0.244,7.0,-12.515,0.0435,0.885,9.21e-05,0.108,0.412,77.248,170187.0,Diana Krall  -  S'wonderful,15020069.0
'Til You Can't,Cody Johnson,spotify:track:4k3lPl8YTKuY8c1HelVnm3,0.501,0.815,1.0,-4.865,0.0436,0.0513,0.0,0.106,0.46,160.087,224213.0,Cody Johnson - 'Til You Can't (Official Music Video),137178250.0
"'Zat You, Santa Claus? - Single Version",Louis Armstrong,spotify:track:4Kh0X8pMk2yIFf4jnGXrTZ,0.683,0.514,5.0,-9.168,0.252,0.325,0.0,0.161,0.654,122.097,169093.0,"Louis Armstrong, The Commanders - 'Zat You, Santa Claus? (Visualizer)",23564627.0
(Don't Fear) The Reaper,Blue Öyster Cult-Blue Öyster Cult,spotify:track:5QTxFnGygVM4jFQiBovmRo,0.333,0.927,9.0,-8.55,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120.0,Blue Oyster Cult - (Don't Fear) The Reaper (Audio),441277003.0
(Everything I Do) I Do It For You,Bryan Adams,spotify:track:6eBK3edMW7bEzecF1eCezc,0.526,0.365,1.0,-12.605,0.028,0.0775,1.35e-05,0.0618,0.253,131.253,394133.0,(Everything I Do) I Do It For You (Official Music Video),464434163.0
(Ghost) Riders in the Sky,Johnny Cash,spotify:track:3I1vEQhGwRK7URrTq4BqNl,0.572,0.668,10.0,-9.382,0.0361,0.355,0.0379,0.223,0.56,109.511,224813.0,Johnny Cash - Ghost Riders In The Sky (Live - 1987),88417035.0
"(Ghost) Riders in the Sky - Live at Nassau Coliseum, Uniondale, NY - March 1990",Waylon Jennings-Kris Kristofferson,spotify:track:3ST1SVHTxxiGodhUeASN3h,0.553,0.797,2.0,-8.762,0.0392,0.536,0.0106,0.902,0.454,115.724,198133.0,"(Ghost) Riders In the Sky (American Outlaws: Live at Nassau Coliseum, 1990)",8753204.0
(God Must Have Spent) A Little More Time On You - Remix,*NSYNC,spotify:track:08zfRiERqpy7J0x8akk7zt,0.375,0.527,10.0,-8.422,0.0507,0.449,0.0,0.305,0.303,167.242,241493.0,[God Must Have Spent] A Little More Time On You (Remix),43506262.0
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,0.723,0.863,2.0,-7.89,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813.0,The Rolling Stones - (I Can't Get No) Satisfaction (Official Lyric Video),561632246.0
(I Can't Help) Falling In Love With You,UB40,spotify:track:7ojJ4XvqBhBcteM0zjMebT,0.642,0.722,2.0,-13.031,0.0375,0.0444,0.00388,0.122,0.836,172.406,207440.0,UB40 - (I Can't Help) Falling In Love With You (Remastered 2002),180935269.0
(I Left My Heart) In San Francisco,Tony Bennett,spotify:track:1bYItjcPRtxZs6Ir71O5RB,0.313,0.078,0.0,-17.583,0.0332,0.955,4.48e-06,0.169,0.125,128.065,170960.0,Tony Bennett - I Left My Heart in San Francisco (from MTV Unplugged),44798744.0
(It Looks Like) I'll Never Fall In Love Again,Tom Jones,spotify:track:70wRitifPn1bC1FGjOrFwN,0.321,0.331,4.0,-13.081,0.0293,0.736,1.58e-06,0.0854,0.313,147.532,257440.0,Tom Jones - I'll Never Fall In Love Again  (1967),17505008.0
(Just Like) Starting Over - Remastered 2010,John Lennon,spotify:track:5y0YreEOnQiKFAnCrcFIXz,0.701,0.79,9.0,-6.16,0.0725,0.301,6.06e-05,0.179,0.421,99.104,236547.0,"(JUST LIKE) STARTING OVER. (Ultimate Mix, 2020) - John Lennon (official music video HD)",49708785.0
(Po)ciąg dalszy nastąpi,Gibbs,spotify:track:7tCN7OfyeUVHQvC0ch62MS,0.602,0.547,8.0,-11.414,0.478,0.706,0.0,0.0966,0.797,119.929,265967.0,Gibbs - (Po)ciąg dalszy nastąpi,17240146.0
(Rock) Superstar (feat. Chino Moreno & Everlast),Cypress Hill,spotify:track:5hYr8yRbQLFE20oS7Mi3T2,0.795,0.762,2.0,-6.972,0.261,0.0142,9.75e-06,0.064,0.722,94.223,276867.0,Cypress Hill - [Rock] Superstar ft. Chino Moreno & Everlast,69035819.0
"(Shake, Shake, Shake) Shake Your Booty",KC & The Sunshine Band,spotify:track:3Is0Nnz59rzbNZE491URlY,0.649,0.825,10.0,-12.243,0.0335,0.00606,0.154,0.104,0.961,112.124,186907.0,,47486504.0
(Sittin' On) the Dock of the Bay,Otis Redding,spotify:track:3zBhihYUHBmGd2bcQIobrF,0.769,0.367,2.0,-11.226,0.0312,0.684,1.62e-05,0.081,0.535,103.621,163756.0,Otis Redding - (Sittin' On) The Dock Of The Bay (Official Music Video),515616223.0
(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,spotify:track:0hvN2v6fAcB6xWyW7UaooA,0.478,0.341,5.0,-12.556,0.0511,0.897,0.0,0.258,0.474,143.736,175893.0,Perry Como - (There's No Place Like) Home for the Holidays (Official Audio),77965317.0
(They Long To Be) Close To You,Carpenters,spotify:track:50q2aUjWoTn6CJIfSPRJQA,0.532,0.244,8.0,-14.652,0.0327,0.707,4.56e-05,0.122,0.238,89.327,276000.0,They Long To Be (Close To You) - Carpenters HD_HQ 1970,139409141.0
