genre,id,name,artist,cluster
chilean rock,3D4iziSjHi4jxG8r4pta7z,Santiago De Chile,Los Bunkers,1
latin alternative,19CmuECYssqkPWANF4nLWM,Para No Verte Más,La Mosca Tse-Tse,1
latin alternative,2LsbizbOeNa4x6qsi2jAMb,La flaca,Jarabe De Palo,1
chilean rock,6hBfF54vgIAdtb5kbbvt75,Nada Nuevo Bajo El Sol,Los Bunkers,1
latin viral rap,1qgtSWA2GbpAXfyC51M1ph,Por Ti,4x3,1
rock uruguayo,5FAS5CyNd5jXR9wRpRtn3L,Inevitablemente,D2o,1
dance pop,3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,1
barbadian pop,49FYlytm3dAAraYgpoJZux,Umbrella,Rihanna,1
argentine rock,0JEoezwc786AUMKs2CBQRI,Carismático,Babasónicos,1
russian folk,7fss5WF5vuXRHvMsYRQXQH,Темная ночь,Mark Bernes,1
dance pop,0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,1
album rock,7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,1
latin alternative,7gKqjNMM4ikt7KFTRsgZgL,El Viejo,La Vela Puerca,1
gym phonk,7vOmSP2647oNUGGEhWd1cr,Montagem Mysterious Game,LXNGVX,1
rock uruguayo,3QaLlAMZDXa2s8eyVoowjw,"No Tengo Hambre, Tengo Ansiedad",Alan Sutton y las criaturitas de la ansiedad,1
rap conciencia,18YCZgBpjvd7OiDzlqffj9,Ríe Cuando Puedas,El Chojin,1
rock uruguayo,0GDOu0iuMWjSNyq37706Yj,Un problema menos,El Cuarteto De Nos,1
edm,7MiZjKawmXTsTNePyTfPyL,Devil Eyes,Hippie Sabotage,1
argentine alternative rock,08jZu9HOb1jPh4U95n9Iso,Santa Desesperanza,Zumbadores,1
rock uruguayo,2tBOR5GtsrEUzvuvhHaiVU,Nocturno de la Estatua,Otro Tavella & Los embajadores del buen gusto,1
punk urbano,0zpKWgFT6SpxQhGIlJRnFy,Animales hambrientos,Desakato,1
indie extremena,5d0Keu9WXiN1XZsAG88VcF,Primer movimiento: el sueño,Extremoduro,3
punk urbano,5Kw1iXud2UNTfLfpIMDogG,Seguimos vivos,Desakato,1
punk urbano,077xWZZIJMDRl1fLZSnwEB,Octubres rotos,Desakato,1
classical,2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,1
indie extremena,1aDeaDooAd79p2sdImGG4a,Dulce introducción al caos,Extremoduro,3
art pop,0WFryfbNKPXVtVQlz5dZ8H,hotline (edit),Billie Eilish,1
mexican indie,10rzSpg3kTFSr5e5tFy60A,Pruébame a Ti,Jósean Log,1
rap conciencia,0obx517J85Rq970CuInlDr,tu refugio,Zenit,1
colombian indie,62xokumU0wMqOSsBuefhmB,Te Alejas Más De Mí,Esteman,1
brutal death metal,7dU9Z24yR9AKuS9cAe2Tj7,Subjected to a Beating,Dying Fetus,1
neo soul,0YUSVg7dncF1TzZ3IFf6Zh,Disfigured,Rag'n'Bone Man,1
art pop,1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,1
canzone napoletana,7HgG6kaNPUltGHFP6aIS4L,Tu Vuo Fà L'Americano,Renato Carosone,1
british indie rock,2kLWSmKHhfUBepkIA9oNe5,Abyss - from Kaiju No. 8,YUNGBLUD,1
melodic metalcore,03jdl5GTBhKsgB1Yw8mVPh,In Between,Beartooth,1
la indie,7ueP5u2qkdZbIPN2YA6LR0,Sail,AWOLNATION,1
