id,name,artist,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,key,mode
3D4iziSjHi4jxG8r4pta7z,Santiago De Chile,Los Bunkers,chilean rock,0.558,0.801,-5.796,0.0489,0.000126,4.99e-05,0.176,0.542,120.09,4,2,0
19CmuECYssqkPWANF4nLWM,Para No Verte Más,La Mosca Tse-Tse,latin alternative,0.658,0.815,-6.834,0.105,0.0168,0.0,0.341,0.837,99.276,4,0,1
2LsbizbOeNa4x6qsi2jAMb,La flaca,Jarabe De Palo,latin alternative,0.871,0.481,-9.068,0.0383,0.52,5.54e-05,0.0809,0.664,103.063,4,7,1
6hBfF54vgIAdtb5kbbvt75,Nada Nuevo Bajo El Sol,Los Bunkers,chilean rock,0.483,0.891,-4.813,0.0304,0.0693,0.00122,0.0826,0.82,136.703,4,6,0
1qgtSWA2GbpAXfyC51M1ph,Por Ti,4x3,latin viral rap,0.761,0.535,-7.665,0.06,0.882,0.0,0.183,0.899,90.965,4,8,1
5FAS5CyNd5jXR9wRpRtn3L,Inevitablemente,D2o,,0.69,0.449,-9.55,0.186,0.258,0.0,0.0991,0.633,79.198,4,5,0
3w3y8KPTfNeOKPiqUTakBh,Locked out of Heaven,Bruno Mars,dance pop,0.726,0.698,-4.165,0.0431,0.049,0.0,0.309,0.867,143.994,4,5,1
49FYlytm3dAAraYgpoJZux,Umbrella,Rihanna,barbadian pop,0.585,0.828,-4.603,0.124,0.00906,0.0,0.0426,0.584,174.034,4,1,1
0JEoezwc786AUMKs2CBQRI,Carismático,Babasónicos,argentine rock,0.69,0.919,-4.696,0.0353,0.0504,0.0,0.152,0.745,137.018,4,7,1
7fss5WF5vuXRHvMsYRQXQH,Темная ночь,Mark Bernes,russian folk,0.426,0.257,-15.88,0.044,0.939,2.02e-05,0.109,0.423,112.243,4,7,1
0ct6r3EGTcMLPtrXHDvVjc,The Nights,Avicii,dance pop,0.527,0.835,-5.298,0.0433,0.0166,0.0,0.249,0.654,125.983,4,6,1
7ACxUo21jtTHzy7ZEV56vU,Crazy Train,Ozzy Osbourne,album rock,0.454,0.913,-4.008,0.107,0.408,0.000271,0.248,0.521,137.688,4,9,1
7gKqjNMM4ikt7KFTRsgZgL,El Viejo,La Vela Puerca,latin alternative,0.699,0.744,-3.947,0.0275,0.0696,0.0,0.0751,0.81,114.025,4,1,0
7vOmSP2647oNUGGEhWd1cr,Montagem Mysterious Game,LXNGVX,gym phonk,0.537,0.64,-10.441,0.104,0.146,0.878,0.157,0.222,130.051,4,1,1
3QaLlAMZDXa2s8eyVoowjw,"No Tengo Hambre, Tengo Ansiedad",Alan Sutton y las criaturitas de la ansiedad,,0.644,0.727,-5.144,0.121,0.0845,0.0,0.313,0.654,167.922,4,9,0
18YCZgBpjvd7OiDzlqffj9,Ríe Cuando Puedas,El Chojin,rap conciencia,0.707,0.468,-12.814,0.462,0.792,0.0,0.11,0.74,91.73,4,4,1
0GDOu0iuMWjSNyq37706Yj,Un problema menos,El Cuarteto De Nos,rock uruguayo,0.734,0.576,-8.296,0.0398,0.021,1.54e-05,0.11,0.908,160.033,4,10,1
7MiZjKawmXTsTNePyTfPyL,Devil Eyes,Hippie Sabotage,edm,0.391,0.396,-8.621,0.189,0.702,0.405,0.315,0.199,99.112,5,1,0
08jZu9HOb1jPh4U95n9Iso,Santa Desesperanza,Zumbadores,argentine alternative rock,0.604,0.923,-4.794,0.0345,0.0172,0.0,0.312,0.881,96.006,4,0,1
2tBOR5GtsrEUzvuvhHaiVU,Nocturno de la Estatua,Otro Tavella & Los embajadores del buen gusto,,0.608,0.549,-7.245,0.0324,0.3,0.0,0.248,0.41,135.978,4,4,0
0zpKWgFT6SpxQhGIlJRnFy,Animales hambrientos,Desakato,punk urbano,0.519,0.918,-5.539,0.0418,0.0017,7.76e-05,0.164,0.447,96.051,4,8,1
5d0Keu9WXiN1XZsAG88VcF,Primer movimiento: el sueño,Extremoduro,indie extremena,0.376,0.776,-5.806,0.0441,0.166,0.0295,0.187,0.371,144.148,4,11,0
5Kw1iXud2UNTfLfpIMDogG,Seguimos vivos,Desakato,punk urbano,0.51,0.912,-3.955,0.0509,4.98e-05,0.00181,0.453,0.429,104.937,4,6,0
077xWZZIJMDRl1fLZSnwEB,Octubres rotos,Desakato,punk urbano,0.582,0.9,-5.185,0.0373,0.000153,0.000232,0.136,0.271,134.974,4,2,1
2xizRhme7pYeITbH1NLLGt,"Tchaikovsky: Swan Lake, Op. 20, Act 2: No. 10, Scene. Moderato",Pyotr Ilyich Tchaikovsky,classical,0.136,0.164,-18.756,0.0364,0.911,0.916,0.109,0.071,58.303,4,4,0
1aDeaDooAd79p2sdImGG4a,Dulce introducción al caos,Extremoduro,indie extremena,0.332,0.683,-6.493,0.0402,0.0763,0.264,0.164,0.252,139.181,3,7,1
0WFryfbNKPXVtVQlz5dZ8H,hotline (edit),Billie Eilish,art pop,0.516,0.254,-16.027,0.0589,0.816,0.855,0.189,0.304,56.829,4,9,0
10rzSpg3kTFSr5e5tFy60A,Pruébame a Ti,Jósean Log,mexican indie,0.696,0.649,-7.284,0.0677,0.0232,0.0,0.187,0.75,136.875,4,0,1
0obx517J85Rq970CuInlDr,tu refugio,Zenit,rap conciencia,0.74,0.52,-8.122,0.521,0.0477,0.0,0.124,0.678,90.72,4,7,1
62xokumU0wMqOSsBuefhmB,Te Alejas Más De Mí,Esteman,colombian indie,0.664,0.674,-7.137,0.0315,0.248,0.0,0.159,0.844,179.969,4,8,1
